name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map,score
搞得跟真的一样奥,None,76561198282171721,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
靖雁,None,76561199032556792,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
33jkbsm,None,76561199005259749,作弊封禁,2020-03-16,Inf,5,None,None,AK47,0.41,None,1551
小淳,None,76561198104088654,作弊封禁,2020-03-16,Inf,5,None,None,AK47,0.45,None,
soze丶,None,76561199033696062,作弊封禁,2020-03-16,Inf,3,None,None,M4A4,0.50,None,
廷廷多猛啊,None,76561199031126459,作弊封禁,2020-03-16,Inf,27,None,None,AWP,0.10,None,1293
C-Sea丶彭于晏,None,76561198821831229,作弊封禁,2020-03-16,Inf,22,None,None,P90,0.37,mirage,1126
卡空,None,76561198219416985,作弊封禁,2020-03-16,Inf,15,None,None,AK47,0.54,dust2,1509
Chengziy,None,76561198419545052,作弊封禁,2020-03-16,Inf,50,None,None,SG 553,0.52,mirage,1907
小二小二郎,None,76561198206654457,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
南城、,None,76561198865753259,作弊封禁,2020-03-16,Inf,7,None,None,AK47,0.40,cache,1146
lyj278234,None,76561199032951591,作弊封禁,2020-03-16,Inf,2,None,None,AWP,0.06,inferno,616
菊花朵朵开丶,None,76561199032617050,作弊封禁,2020-03-16,Inf,8,None,None,AK47,0.50,None,
急急棒,None,76561199033239439,作弊封禁,2020-03-16,Inf,13,None,None,AK47,0.72,None,1273
今夜太冷不宜私奔,None,76561199028618494,作弊封禁,2020-03-16,Inf,4,None,None,None,None,None,
性感茄子在线年轻,None,76561199029491861,作弊封禁,2020-03-16,Inf,11,None,None,AWP,0.11,inferno,1153
小粗牛子,None,76561199034050656,作弊封禁,2020-03-16,Inf,4,None,None,None,None,None,
一局一根烟,Vip,76561198813655266,作弊封禁,2020-03-16,Inf,16,None,None,AK47,0.45,dust2,
天才狙击手阿祥,None,76561199027151141,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
Running菜,None,76561199033455166,作弊封禁,2020-03-16,Inf,2,None,None,AWP,0.00,None,
LiiiiF,None,76561198984108987,作弊封禁,2020-03-16,Inf,7,None,None,SG 553,0.42,inferno,1041
我也不想这样过,None,76561199032154319,作弊封禁,2020-03-16,Inf,0,None,None,Zeus x27,0.00,None,
Zzzwxr,None,76561198819040304,作弊封禁,2020-03-16,Inf,1,None,None,AK47,0.52,inferno,1390
M5cbog,None,76561199008210519,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
喵呜猫咖干拉王,None,76561199026247030,作弊封禁,2020-03-16,Inf,24,None,None,AK47,0.53,dust2,1859
不好意思我先开了,None,76561199032445998,作弊封禁,2020-03-16,Inf,16,None,None,SG 553,0.87,None,
小灰灰石头,None,76561198370444660,作弊封禁,2020-03-16,Inf,23,None,None,SG 553,0.66,dust2,287
xue_wudi,Vip,76561198402655093,作弊封禁,2020-03-16,Inf,7,None,None,Galil,0.29,mirage,640
51没有反作弊⁠,None,76561199025722091,作弊封禁,2020-03-16,Inf,4,None,None,None,None,None,
我不想演了啊,None,76561199032453278,作弊封禁,2020-03-16,Inf,12,None,None,SG 553,0.35,None,
咖喱永远滴神,Vip,76561199032193111,作弊封禁,2020-03-16,Inf,13,None,None,Mac 10,0.45,None,953
hcxz673975,None,76561199029293399,作弊封禁,2020-03-16,Inf,0,None,None,AK47,0.83,None,
PatrickStar2,None,76561199032692453,作弊封禁,2020-03-16,Inf,26,None,None,AK47,0.53,None,1767
tA也不是我的救赎,None,76561199026621977,作弊封禁,2020-03-16,Inf,21,None,None,AK47,0.49,mirage,1767
狂小丸丶,None,76561198190263997,作弊封禁,2020-03-16,Inf,9,None,None,SG 553,0.28,None,969
StarringLaw,None,76561199028594362,作弊封禁,2020-03-16,Inf,9,None,None,None,None,None,
dys大师兄,None,76561199033515125,作弊封禁,2020-03-16,Inf,8,None,None,SG 553,0.81,None,
选我只能混,None,76561199028390238,作弊封禁,2020-03-16,Inf,7,None,None,AK47,0.50,None,1428
这里有个老实人,None,76561199029147208,作弊封禁,2020-03-16,Inf,0,None,None,M4A4,0.30,None,
男人不醉,Vip,76561198412652440,作弊封禁,2020-03-16,Inf,2,None,None,SG 553,0.38,inferno,1235
稣州陳冠希,Vip,76561198987246939,作弊封禁,2020-03-16,Inf,9,None,None,AK47,0.60,dust2,1073
❤❤花卷,None,76561199031140201,作弊封禁,2020-03-16,Inf,42,None,None,AWP,0.28,None,1948
奉新彭于晏d,None,76561198980070889,作弊封禁,2020-03-16,Inf,31,None,None,AK47,0.68,None,1800
爆头精英卢佬爷,Vip,76561198994159180,作弊封禁,2020-03-16,Inf,38,None,None,AK47,0.33,None,2141
killerkong,Vip,76561198430375536,作弊封禁,2020-03-16,Inf,5,None,None,AK47,0.34,mirage,1696
